text,pasal
"Pak A sering pegang pegang tangan, kadang pegang paha",1
lama lama dia tarik tanganku baru baring di pangkuanku,1
pake jilbab syar'i dan gapernah sentuhan sama lawan jenis ,0
"saya ditarik"" hampir masuk di ruangannya dosen tersebut",1
saat mengajar dia mendekati teman saya dengan sengaja mendekatkan wajahnya dari belakang ,1
"aku dihamili anggota BIN, dipaksa aborsi minum misoprostol, ditinggalin di hotel sendirian dalam keadaan pendarahan dan lemah selama 3 hari, aku harus operasi kuret karena janin bayinya masih ada",1
"vagina ku dia remas baru dia tarik tangannya dan dia cium, baru dia pegang erat tanganku suruh pegang kontolnya.",1
"ternyata konsul selanjutnya dia buka bajuku dari belakang, dia lepas BH ku baru remas payudara kiriku. ",1
Baru dia angkat rok ku sampai pangkal paha jadi telanjang setengah,1
saya pernah di raba sampai masuk di bajuku dan pegang payudara ku,1
saya coba untuk teriak tapi tidak ada yang dengar saya,0
dia suruh saya pegang itu kelaminnya,1
"Dia ngirim foto Friska tanpa busana, kepalanya berdarah dan ditangannya banyak luka2 sayatan.",1
"dia di lecehin, digilir satu-satu, tangannya di silet, kepalanya di pukul pake balok kayu.",1
"si S punya foto korban yang sedang mandi n di intip trus di foto, diancam akan disebarluaskan kalau dia gak ngasih yang di minta si S ini, trus ngancam gak di kasih duit, ngancam diperkosa",1
disuruh vc dan d suruh kirim video tanpa baju,1
"Dosen itu seringkali mengirimkan chat tak senonoh kepadanya. Seperti ""Mau bercinta?"", ""andai saya belum punya istri, saya mau nikahin kamu"".",1
"""Yang ini loh sayang"" Ucap dosen tersebut disela-sela bimbingan. Ia langsung merasa was-was. Dosen itu semakin berani bahkan tangan dosen itu sudah menyentuh pipinya",1
Ia baru saja ingin berontak namun dosen itu dengan gerakan cepat menciumnya.,1
"Ia dengan sigap mengambil laptopnya di meja dan melangkah keluar. Baru beberapa langkah, dosen itu ternyata menarik roknya",1
"tiba tiba si pelaku ini tuh naik ke lantai 2 tempat kakakku sambil bawa karung dan bilang ke kakakku mau numpang tidur, dijawab lah cuma sama kakakku ""hmm""",0
setelah ngomong gitu dia ngunci badan kakakku dengan peluk kakakku dari belakang (btw posisi dia dari awal minta minyak angin udah di belakang kakakku) sambil remes remes payudara kakakku. kakakku panik bangett shock membeku seketika.,1
"pas malem saya tidur, dia masuk ke kamar dan menggerayangi tubuh bagian bawah saya. dia nyoba ngebuka celana tidur panjang saya",1
"saudara saya sebut saja V menginap di rumah dia. Pas malem, dia masuk ke kamar dan meraba kemaluan V. setelah ketauan, dia beralasan sedang mencari sesuatu",1
dia ini juga sering ngintipin orang-orang yang lagi mandi di rumahnya,1
"Pengen jilat memeknya, plus remes nenennya sampai keluar susu terus diminum",1
"dia sering masukkan kakinya ke dalam rok, terus di elus elus betis pake kakinya",1
"Biasanya juga sementara duduk , dia langsung pegang paha atau pegang pipi",1
hari itu saya ikut sebuah acara di perkemahan sebagai salah satu panitia,0
saya duduk di samping dia dan kami ngobrol soal hal-hal biasa,0
"tiba tiba dia bilang ""dingin ya"" dan langsung memasukkan tangannya ke arah dada saya",1
"""kalau mau ga gua gangguin, cium gua dulu""",1
cowo gue ngamncem untuk nyebarin foto/video dewasa gue,1
hotelnya sebetulnya mereka keren dan comfy.,0
Gue tidur di Pod nomor 51 abis sahur lanjut tidur dan kebangun sekitar jam 9 buat lanjut ngerjain urusan kerjaan sebentar lalu menuju ke kamar mandi buat mandi bersiap berangkat ke kantor.,0
Langsung gue sampai situ masuk ke bilik tengah/kedua dan mulai buka baju full + nyalain shower,0
selang beberapa menit basahin badan tiba tiba gue denger ada suara langkah kaki orang masuk karena itu lantainya semacam granit kaya di rumah rumah minimalis,0
"Jadi kedengeran bunyi antara lantai sama gesekan sendal hotel yang khas, awalnya gue bodo amat karena memang udah biasa kalau stay di hotel shared bathroom pasti gitu",0
"Terus gak lama kedengeran suara pintu utama kamar mandi ditutup gitu dong, FIX!!!disitu gue tambah panik, ini siapa sih anjrit kata gue dalem hati sesekali gue noleh noleh ke atas karena memang si bilik mandi nya ada celah di kanan kiri atas",0
beberapa detik gue kecolongan momen eh gue langsung reflek nengok ke belakang atas itu literally ADA TANGAAAANN!!! Sambil megang handphone warna biru tua yang gue gak tau mereknya dan BLITZ NYA NYALAA!!! sambil diayunin ke kanan kiri buat ambil angle yang pas!!!,1
"aku pernah sampe diajak vc, karna masih maba aku kira gaboleh ngelawan sama senior ya aku angkat, ternyata dia nunjukin anunya sambil di goyang-goyangin ",1
"dia chat ""iya semuk gitu"", ""dientot juga nurut nurut aja pasti""",1
Bada Magrib 7 Desember 2021 gua balik ke penginapan cewek bersama adiknya pelaku “lu brani sendirian? “ katanya dan gua jawab “branilah” krn gua benar2 udh sebegitu tenang dan percayanya di tempat itu. Sesampainya di penginapan gua langsung mandi,0
"ketika gua handukan gua kaget di ujung kamar mandi ada cahaya kerlap-kerlip. Gua pastiin lagi itu apa, gua manjat dan ternyata itu adalah CCTV kemudian gua langsung mengambil CCTVnya dan lari ke kamar.",1
dia pernah ngirimin aku dick pict tanpa konsen when i was 16,1
"""mw pap tytyd?""",1
"gw nugguin teman gw kan di bawah tangga biar kita ke masjid Bareng. tetapi teman gw itu lama bgt datengnya, akhirnya datanglah satu orang santri PELANGGAR berinisial S dan tiba tiba tangan gw di tarik dan gw di bawa masuk ke kamar mandi di bawah tangga Gedung A.",1
"dan disinilah awal mulai itu terjadi, si inisial S ini dengan sengaja menempelkan kelaminnya kebelakang tubuh gw, dan mengesek gesek ke maluannya kebelakang tubuh gw, gw udah berusaha untuk ngelawannya dan akan melaporkan itu ke pihak pesantren,",1
"akan tetapi dia terus memukul tubuh gw sampe disitu gw lemes, dan dia menyuruh gw untuk blow job dia, disitu gw ga bisa ngelawan karna disitu tenaga dia lebih kuat di banding gw.",1
"Dan ke esokan harinya pada saat sholat subuh dia ke kamar gw, dan mengajak gw ke kamar mandi di Gedung yang berbeda dan disitu dia memanggil kaka kelas yang lainnya yang sama sama pelanggar di pesantren itu, dan mereka semua melecehkan gw.",1
"Nanyain ini itu sambil berusaha deketin gue ngarahin kemaluannya nempelin bokong gue, jujur gue langsung diem, kalo ada yang bilang kenapa ga digeplak jujur banget gue langsung lemes gatau mesti ngapain, disitu masih sepi ga ada siapa siapa dan diwarung cums berdua sama dia.",1
"Awalnya Mas R ngajak aku main ya biasalah ngopi sambil ngobrol di suatu coffee shop.
Setelah itu kita ke kosnya buat baca buku, ternyata dia punya banyak buku dan aku ada niat
untuk pinjam buku ke dia buat penelitianku.
Ok aku lanjutin, di kos kita ngobrol2 seperti biasa, dari ngobrolin skripsi, buku.",0
"Sampe tiba2 dia coba cium aku dan aku nolak, berkali-kali kaya gitu. Aku bilang gak mau pun gak didengerin, tenaganya juga lebih kuat dari aku.",1
"malem itu, de'e berani grepe-grepe ak, padahal aku tiduran maenan hp",1
"Dia lepas paksa celanaku dan akhire kejadian, pdahal ak dah bilang lek ga bisa!",1
"Aku bbrp kali minta keluar, buat cari makan/cemilan. Maksudku biar aku ga digrepe-grepe.",0
"cewe2 udah ngomongin dia, ya biasalah cewe dan ngomonginnya cuma sebatas “sepertinya orangnya agak serem dan aneh” gitu doang. Dan berlanjut kami berangkat kkn dan sampai dirumah kkn. Sampai sana semua beres2 rumah biar bersih mengingat lama ga ditempati",0
"Terus di hari2 pertengahan kkn, salah satu temen ceweku dini hari masih ada yg blm tidur, dan dia kedapatan yusril lagi ngintip kearah kita cewe2.",1
"""do u wanna see my dick?""",1
"""dmn? Di kost? Kost km bebas ga? Aku bole nginap?""",1
"""temani aku nginap di hotel ya""",1
"""pernah ciuman?"" ""pernah hubungan seks ngga?""",1
"pelaku memojokkan badan penyintas ke dinding lalu berusaha menciumnya dengan paksa, dilanjutkan dengan menggesekkan alat kelamin di bagian di bagian perut bersentuhan dengan kulit langsung sehingga terjadi ejakulasi",1
pelaku mencengkram tangan dan mendorong tubuh penyintas ke dinding lalu berusaha menciumnya dengan paksaan hingga terjadi pemaksaan hubungan badan (pemerkosaan) hingga terjadinya ejakulasi di luar alat kelamin penyintas,1
"""ketemu aku perkosa""",1
"Coba ke dokter lah utk tanya solusinya gmn, klo ibu dan janin nya sehat dokter gaakan saranin utk aborsi",0
Blusukan ini dalam rangka memberikan Penyuluhan terkait Sadari (Periksa Payudara Sendiri) serta Berkuda (Berantas Kurang Darah).,0
"buntut kucing gua tu panjang bgt, kadang gemes gua tarik atau remes trs gua dicakar gt",0
"Cemplungin kemangi trus remes, biar ga bau amis. Tp ga ngaruh kalo paKe sambal bawang",0
"mana lg pegang hp, trs abistu dimarahin",0
ngefoto aku diem diem di zoom terus dijadiin becandaan yg 18+ gitu,1
"Gue lumayan suka mainin pentil boobs gue karna enak. Pas lagi berdua sama doi, kita sama² main hp dan gue tiba2 pengen mainin pentil tapi mager. Jadi gue tarik tangan doi dan arahin jari dia buat mainin pentil gue. Ekspresi nya agak shock tapi tetep dilakuin.",1
"Pas hari ulang tahun penyintas, penyintas dikasih kejutan sama pelaku dan pacarnya pelaku dan mereka minum-minum.",0
pelaku dan pacar pelaku mulai ke kamar dan hs dengan kemauan mereka,0
"pacar pelaku keluar buat narik penyintas dan penyintas ngeberontak buat gamau hs. Tapi penyintas terus dipaksa ditarik dan pacar pelaku bilang ""aku rusak kamu juga harus rusak""",1
"baju penyintas dilepas oleh pelaku dan pacar pelaku dan pelaku mulai masukin ""itunya"" ke punya  penyintas, yang otomatis penyintas tegangin badan supaya gabisa masuk, tapi penyintas tetap kalah, si pelaku berhasil. Pas hs penyintas nangis karna itu virginitynya.",1
"""mbaknya aja sini aku bungkus""",1
"""makan sini juga gapapa kok mba, tapi kursinya penuh karna ojol, jadi mbaknya tak pangku aja""",1
"Karena aku juga anak nya aga kepo dan aku kira dia boongan aku iyain aja tuh. Terus dia bilang ""mana sini tangan kamu pinjem sebelah"", nah aku aga lupa ini aku kasih telapak tangan kanan atau kiri nya, lalu dia pegang lah telapak tangan aku sambil aku gatau dia ngapain",0
"pegang tangan gw, kaya es batu",0
"aku lagi jalan sama mantan aku di suatu coffee shop. Berselang beberapa lama dia ngeliat aku dengan tatapan yang aneh dan ngomong ""setelah ini mau ke hotel ga?""",1
"hari itu aku ada kegiatan organisasi keagamaan di kampus. Tiba-tiba pacarku ngechat aku ""udah jam berapa ini kamu belum pulang? ngelonte kamu di kampus?""",1
"Aku ngak pernah ciuman, pelukan pun ngak pernah, paling mentok pegang tangan doang.",0
"""makanya sini pegang tangan aku biar gak ketinggalan""",0
"""dia mah mukanya jelek gapapa asal badannya bohay lumayan bikin puas""",1